id	name	formula	charge	aliases
cpd00443	ABEE	C7H6NO2	-1	
cpd02920	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate	C7H9N5O8P2	-2	
cpd00012	PPi	HO7P2	-3	
cpd00067	H+	H	1	
cpd00683	Dihydropteroate	C14H13N6O3	-1	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd14700	2-Methyl-1-hydroxypropyl-TPP	C16H25N4O8P2S	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd02700	S-(2-Methylpropionyl)-dihydrolipoamide	C12H23NO2S2	0	
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	
cpd00074	S	S	0	
cpd01311	Dethiobiotin	C10H17N2O3	-1	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd00104	BIOT	C10H15N2O3S	-1	
cpd03091	5'-Deoxyadenosine	C10H13N5O3	0	
cpd00182	Adenosine	C10H13N5O4	0	
cpd00001	H2O	H2O	0	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00009	Phosphate	HO4P	-2	
cpd00947	LacCer	C31H56NO13R	0	
cpd00108	Galactose	C6H12O6	0	
cpd00878	Glucocerebroside	C25H46NO8R	0	
cpd00022	Acetyl-CoA	C23H34N7O17P3S	-4	
cpd00054	L-Serine	C3H7NO3	0	
cpd00010	CoA	C21H32N7O16P3S	-4	
cpd00722	O-Acetyl-L-serine	C5H9NO4	0	
cpd00046	CMP	C9H12N3O8P	-2	
cpd00096	CDP	C9H13N3O11P2	-2	
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd11440	fa6	C16H31O2	-1	
cpd00018	AMP	C10H12N5O7P	-2	
cpd11441	fa6coa	C37H63N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd11527	7-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00015	FAD	C27H30N9O15P2	-3	
cpd00130	L-Malate	C4H4O5	-2	
cpd00032	Oxaloacetate	C4H2O5	-2	
cpd00982	FADH2	C27H33N9O15P2	-2	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd00075	Nitrite	NO2	-1	
cpd00851	trans-4-Hydroxy-L-proline	C5H9NO3	0	
cpd02175	cis-4-Hydroxy-D-proline	C5H9NO3	0	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd15750	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd15768	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd00006	NADP	C21H25N7O17P3	-3	
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H38N7O18P3S	-4	
cpd00005	NADPH	C21H26N7O17P3	-4	
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	-4	
cpd00083	GDP-mannose	C16H23N5O16P2	-2	
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	
cpd00179	Maltose	C12H22O11	0	
cpd00027	D-Glucose	C6H12O6	0	
cpd00137	Citrate	C6H5O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	-2	
cpd00522	dTDP-4-oxo-L-rhamnose	C16H22N2O15P2	-2	
cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	
cpd03114	3-Oxopalmitoyl-CoA	C37H60N7O18P3S	-4	
cpd01140	UDP-apiose	C14H20N2O16P2	-2	
cpd02807	Cosmetin	C21H20O10	0	
cpd02952	Apiin	C26H28O14	0	
cpd00007	O2	O2	0	
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	
cpd00025	H2O2	H2O2	0	
cpd00532	O2-	O2	-1	
cpd03351	Cinnavalininate	C14H6N2O6	-2	
cpd11466	Myristoyl-ACP	C25H48N2O8PRS	-2	
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	
cpd11493	ACP	C11H22N2O7PRS	-2	
cpd08739	trans-2-Methyl-5-isopropylhexa-2,5-dienal	C10H16O	0	
cpd08740	trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid	C10H15O2	-1	
cpd17042	DNA replication	null	0	
cpd11640	H2	H2	0	
cpd15560	Ubiquinone-8	C49H74O4	0	
cpd15561	Ubiquinol-8	C49H76O4	0	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00072	D-fructose-6-phosphate	C6H11O9P	-2	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd00290	D-fructose-1,6-bisphosphate	C6H10O12P2	-4	
cpd11492	Malonyl-acyl-carrierprotein-	C14H24N2O10PRS	-2	
cpd00011	CO2	CO2	0	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H9O7P	-2	
cpd08449	3-Amino-2-oxopropyl phosphate	C3H7NO5P	-1	
cpd00478	Pyridoxine phosphate	C8H10NO6P	-2	
cpd03187	Oxalosuccinate	C6H3O7	-3	
cpd00024	2-Oxoglutarate	C5H4O5	-2	
cpd00246	Inosine	C10H12N4O5	0	
cpd00226	HYXN	C5H4N4O	0	
cpd00475	Ribose 1-phosphate	C5H9O8P	-2	
cpd15688	CDP-1,2-diisohexadecanoylglycerol	C44H79N3O15P2	-2	
cpd15694	Diisohexadecanoylphosphatidylserine	C38H72NO10P	-2	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00033	Glycine	C2H5NO2	0	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd02519	Guanidinoethyl methyl phosphate	C4H12N3O4P	0	
cpd02744	N'-Phosphoguanidinoethyl methyl phosphate	C4H11N3O7P2	-2	
cpd18004	Pheophorbide a	C35H36N4O5	0	
cpd00116	Methanol	CH4O	0	
cpd18047	Pyropheophorbide a	C33H34N4O3	0	
cpd00038	GTP	C10H13N5O14P3	-3	
cpd00048	Sulfate	O4S	-2	
cpd00031	GDP	C10H13N5O11P2	-2	
cpd00193	APS	C10H12N5O10PS	-2	
cpd00206	dCMP	C9H12N3O7P	-2	
cpd00061	Phosphoenolpyruvate	C3H2O6P	-3	
cpd00020	Pyruvate	C3H3O3	-1	
cpd00070	Malonyl-CoA	C24H33N7O19P3S	-5	
cpd02375	Adenylosuccinate	C14H14N5O11P	-4	
cpd00106	Fumarate	C4H2O4	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd00084	L-Cysteine	C3H7NO2S	0	
cpd02201	4-phosphopantothenate	C9H15NO8P	-3	
cpd02666	(R)-4'-Phosphopantothenoyl-L-cysteine	C12H20N2O9PS	-3	
cpd00026	UDP-glucose	C15H22N2O17P2	-2	
cpd00144	UDPglucuronate	C15H19N2O18P2	-3	
cpd02168	Prephytoene diphosphate	C40H66O7P2	-2	
cpd03211	15-cis-Phytoene	C40H64	0	
cpd00023	L-Glutamate	C5H8NO4	-1	
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	-2	
cpd03524	10-Formyl-THF-L-glutamate	C25H27N8O10	-3	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd02014	N-Malonylanthranilate	C10H7NO5	-2	
cpd11503	6-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd03640	6-Oxohexanoate	C6H9O3	-1	
cpd03643	Cyclohexan-1,2-dione	C6H8O2	0	
cpd03349	5-Hydroxykynurenamine	C9H13N2O2	1	
cpd03362	5-Hydroxykynurenine	C10H12N2O4	0	
cpd02021	Succinylbenzoyl-CoA	C32H39N7O20P3S	-5	
cpd02295	1-4-Dihydroxy-2-naphthoate	C11H7O4	-1	
cpd00259	D-Lyxulose	C5H10O5	0	
cpd00198	D-Xylulose5-phosphate	C5H9O8P	-2	
cpd00101	ribose-5-phosphate	C5H9O8P	-2	
cpd00847	Ribose 1,5-bisphosphate	C5H10O11P2	-2	
cpd00351	Saccharopine	C11H19N2O6	-1	
cpd02522	2-Aminoadipate 6-semialdehyde	C6H11NO3	0	
cpd00062	UTP	C9H12N2O15P3	-3	
cpd00805	D-Tagatose 6-phosphate	C6H11O9P	-2	
cpd02371	D-Tagatose 1,6-biphosphate	C6H10O12P2	-4	
cpd04097	Pb	Pb	2	
cpd00311	Guanosine	C10H13N5O5	0	
cpd00013	NH3	H4N	1	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd00807	L-histidinol-phosphate	C6H11N3O4P	-1	
cpd00930	imidazole acetol-phosphate	C6H7N2O5P	-2	
cpd03414	UroporphyrinogenI	C40H36N4O16	-8	
cpd03416	CoproporphyrinogenI	C36H40N4O8	-4	
cpd00154	Xylose	C5H10O5	0	
cpd02961	Dihydroneopterin	C9H13N5O4	0	
cpd00229	Glycolaldehyde	C2H4O2	0	
cpd00954	6-hydroxymethyl dihydropterin	C7H9N5O2	0	
cpd00808	L-ribulose-5-phosphate	C5H9O8P	-2	
cpd00202	DMAPP	C5H10O7P2	-2	
cpd08615	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate	C5H10O8P2	-2	
cpd11540	13-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-2	
cpd11541	15-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd03246	Taurochenodeoxycholate	C26H44NO6S	-1	
cpd00210	Taurine	C2H7NO3S	0	
cpd01663	Chenodiol	C24H39O4	-1	
cpd00080	Glycerol-3-phosphate	C3H7O6P	-2	
cpd11439	fa4coa	C36H61N7O17P3S	-3	
cpd15675	1-anteisopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P	-2	
cpd15522	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd15682	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd00350	Farnesyldiphosphate	C15H26O7P2	-2	
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	-2	
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	
